,id,ac,km
370,TCGA-BP-5168-01A-01R-1420-07,1,4
371,TCGA-CJ-4890-01A-01R-1305-07,0,4
372,TCGA-B0-5084-01A-01R-1334-07,1,0
373,TCGA-EU-5906-01A-11R-1672-07,4,2
374,TCGA-BP-4327-01A-01R-1289-07,1,4
375,TCGA-BP-5182-01A-01R-1426-07,4,3
376,TCGA-DV-5575-01A-01R-1541-07,1,2
377,TCGA-B0-5703-01A-11R-1541-07,0,1
378,TCGA-BP-4176-01A-02R-1289-07,3,0
379,TCGA-B0-5692-01A-11R-1541-07,0,1
380,TCGA-BP-5175-01A-01R-1426-07,1,4
381,TCGA-DV-5569-01A-01R-1541-07,1,2
382,TCGA-BP-5189-01A-02R-1426-07,4,2
383,TCGA-G6-A8L6-01A-11R-A37O-07,1,2
384,TCGA-B4-5838-01A-11R-1672-07,1,2
385,TCGA-BP-4342-01A-01R-1289-07,4,2
386,TCGA-BP-4983-01A-01R-1334-07,0,1
387,TCGA-BP-4163-01A-02R-1325-07,4,2
388,TCGA-B0-5710-01A-11R-1672-07,3,2
389,TCGA-CJ-4884-01A-01R-1305-07,0,4
390,TCGA-CZ-5459-01A-01R-1503-07,1,4
391,TCGA-B0-5096-01A-01R-1420-07,2,0
392,TCGA-B0-4837-01A-01R-1305-07,3,0
393,TCGA-BP-4993-01A-02R-1420-07,0,4
394,TCGA-DV-5568-01A-01R-1541-07,1,4
395,TCGA-B0-4694-01A-01R-1277-07,0,4
396,TCGA-B0-4823-01A-02R-1420-07,0,4
397,TCGA-MM-A563-01A-11R-A266-07,1,4
398,TCGA-CJ-4868-01A-01R-1305-07,0,4
399,TCGA-AK-3456-01A-02R-1325-07,2,3
400,TCGA-B8-4146-01B-11R-1672-07,1,2
401,TCGA-CZ-4854-01A-01R-1305-07,1,0
402,TCGA-MH-A562-01A-11R-A26U-07,4,4
403,TCGA-F9-A7VF-01A-11R-A33Z-07,1,4
404,TCGA-HE-A5NL-01A-11R-A26U-07,2,3
405,TCGA-Y8-A897-01A-11R-A36F-07,2,0
406,TCGA-UZ-A9PO-01A-11R-A38C-07,2,3
407,TCGA-A4-7286-01A-11R-A32Z-07,2,3
408,TCGA-PJ-A5Z9-01A-11R-A28H-07,3,0
409,TCGA-2K-A9WE-01A-11R-A38C-07,3,0
410,TCGA-MH-A856-01A-11R-A355-07,1,2
411,TCGA-2Z-A9J2-01A-11R-A38C-07,1,2
412,TCGA-SX-A7SS-01A-11R-A36F-07,2,3
413,TCGA-DZ-6132-01A-11R-1965-07,2,0
414,TCGA-G7-A4TM-01A-11R-A31O-07,1,2
415,TCGA-5P-A9K6-01A-11R-A42S-07,2,3
416,TCGA-5P-A9K2-01A-11R-A42S-07,3,0
417,TCGA-GL-A4EM-01A-11R-A24Z-07,2,0
418,TCGA-DZ-6134-01A-11R-1965-07,2,3
419,TCGA-IZ-A6M9-01A-11R-A31O-07,4,3
420,TCGA-2Z-A9JM-01A-12R-A42S-07,4,2
421,TCGA-IZ-A6M8-01A-11R-A31O-07,2,3
422,TCGA-B1-A656-01A-11R-A31O-07,3,0
423,TCGA-A4-7996-01A-11R-2204-07,3,0
424,TCGA-P4-A5EA-01A-11R-A28H-07,1,4
425,TCGA-SX-A71V-01A-11R-A33Z-07,2,3
426,TCGA-BQ-7059-01A-11R-1965-07,2,0
427,TCGA-2Z-A9JQ-01A-11R-A42S-07,4,2
428,TCGA-A4-A6HP-01A-11R-A31O-07,4,2
429,TCGA-F9-A4JJ-01A-11R-A24Z-07,1,4
430,TCGA-WN-A9G9-01A-12R-A37K-07,0,1
431,TCGA-5P-A9JZ-01A-11R-A42S-07,2,3
432,TCGA-2Z-A9JP-01A-11R-A42S-07,2,3
433,TCGA-J7-6720-01A-11R-2139-07,2,3
434,TCGA-KO-8405-01A-11R-2315-07,2,3
436,TCGA-SX-A71U-01A-12R-A33Z-07,4,3
437,TCGA-B3-A6W5-01A-12R-A33Z-07,4,2
438,TCGA-5P-A9K0-01A-11R-A42S-07,2,3
439,TCGA-AL-7173-01A-11R-2139-07,1,4
440,TCGA-IA-A83V-01A-11R-A355-07,2,3
441,TCGA-HE-A5NF-01A-11R-A26U-07,2,3
442,TCGA-A4-A772-01A-11R-A33Z-07,2,3
443,TCGA-5P-A9JW-01A-11R-A42S-07,2,3
444,TCGA-UZ-A9PZ-01A-11R-A42S-07,4,2
445,TCGA-BQ-5877-01A-11R-1592-07,4,3
446,TCGA-V9-A7HT-01A-11R-A33Z-07,2,3
447,TCGA-B1-A654-01A-11R-A31O-07,1,2
448,TCGA-B9-4117-01A-02R-1351-07,2,3
449,TCGA-A4-7732-01A-11R-2139-07,4,3
451,TCGA-F9-A8NY-01A-11R-A36F-07,0,1
452,TCGA-KO-8404-01A-11R-2315-07,2,0
453,TCGA-UZ-A9PK-01A-11R-A38C-07,2,3
454,TCGA-IA-A83T-01A-11R-A355-07,2,3
455,TCGA-IA-A83S-01A-11R-A355-07,3,0
456,TCGA-2Z-A9JL-01A-11R-A42S-07,1,0
457,TCGA-B9-A5W7-01A-11R-A31O-07,3,0
458,TCGA-DW-7838-01A-11R-2139-07,2,0
459,TCGA-Y8-A8RY-01A-11R-A37K-07,4,3
460,TCGA-B1-A657-01A-11R-A31O-07,4,3
461,TCGA-A4-A5XZ-01A-11R-A31O-07,2,3
462,TCGA-G7-6796-01A-11R-1965-07,1,4
463,TCGA-Y8-A8S1-01A-11R-A37K-07,2,3
464,TCGA-KV-A6GD-01A-11R-A31O-07,2,3
465,TCGA-BQ-5886-01A-11R-1592-07,2,0
466,TCGA-GL-7966-01A-11R-2204-07,1,2
467,TCGA-BQ-5890-01A-11R-1592-07,3,0
468,TCGA-A4-7585-01A-11R-2139-07,1,2
469,TCGA-2Z-A9JT-01A-11R-A42S-07,4,3
470,TCGA-2Z-A9J5-01A-21R-A38C-07,2,3
471,TCGA-B1-A47M-01A-11R-A24Z-07,3,2
472,TCGA-G7-7502-01A-11R-2204-07,3,0
473,TCGA-BQ-5889-01A-11R-1592-07,1,4
474,TCGA-UZ-A9PX-01A-11R-A42S-07,4,2
475,TCGA-BQ-7060-01A-11R-1965-07,2,3
476,TCGA-DW-7837-01A-11R-2139-07,4,2
